mecha_id,event_code,catalog_event_id,time_diff_sec,horizontal_diff_km,depth_diff_km,mag_diff,match_score
171,J2025121317450205,11248,0.0,0.04867807008620731,0.07000000000000028,0.0,0.11485614017241469
225,J2026010817275957,15566,0.0,0.055435672220706035,0.01999999999999602,0.0,0.11587134444141108
327,J2026042318401005,23560,0.01,0.04928386211768901,0.02999999999999936,0.0,0.11606772423537785
123,J2025121208542149,10183,0.01,0.046418720052240896,0.05999999999999872,0.0,0.11783744010448147
145,J2025121212345429,10267,0.01,0.035364832745281946,0.14999999999999858,0.0,0.11822966549056353
127,J2025121211470534,10208,0.0,0.054666619864902975,0.03999999999999915,0.0,0.11933323972980574
273,J2026021717040867,18065,0.0,0.053977852029349224,0.05000000000000071,0.0,0.12045570405869863
293,J2026031906230097,19550,0.01,0.04403084206954671,0.09999999999999432,0.0,0.12306168413909199
59,J2025120823404193,8510,0.01,0.029203595604203793,0.21999999999999886,0.0,0.1234071912084073
137,J2025121212063434,10237,0.0,0.06247400226808413,0.010000000000001563,0.0,0.12744800453616867
191,J2025121913583017,13130,0.01,0.03796160407335369,0.16999999999999815,0.0,0.1284232081467069
269,J2026021613595481,18008,0.0,0.0643769186015851,0.00999999999999801,0.0,0.13125383720316972
180,J2025121518193468,12108,0.01,0.05606163606960861,0.03999999999999915,0.0,0.13212327213921699
290,J2026031714012021,19469,0.0,0.05860244720643816,0.07000000000000028,0.0,0.1347048944128764
186,J2025121707283740,12585,0.0,0.05492591926054714,0.10000000000000142,0.0,0.13485183852109464
11,J2025101407060327,3904,0.01,0.06245586931512737,0.0,0.0,0.13491173863025474
39,J2025112520430470,7887,0.01,0.05294031193382969,0.08999999999999986,0.0,0.13838062386765934
144,J2025121212340775,10266,0.01,0.045671497774306666,0.15000000000000213,0.0,0.13884299554861385
167,J2025121307363627,10976,0.01,0.050709150904721806,0.10999999999999943,0.0,0.13891830180944348
174,J2025121422494284,11879,0.01,0.06550171535507159,0.0,0.0,0.14100343071014318
125,J2025121211441342,10206,0.0,0.05316076740964822,0.14000000000000057,0.0,0.1413215348192966
152,J2025121216050894,10433,0.0,0.059487341017241055,0.08999999999999986,0.0,0.14147468203448207
299,J2026032904445721,20295,0.01,0.06395143051980544,0.019999999999999574,0.0,0.14290286103961078
117,J2025121111222360,9996,0.0,0.06529476182876906,0.04999999999999716,0.0,0.1430895236575374
102,J2025120914154775,9192,0.0,0.046554693012532976,0.21000000000000085,0.0,0.14560938602506618
281,J2026022518413540,18462,0.0,0.06556134724992091,0.05999999999999517,0.0,0.1461226944998406
69,J2025120900585878,8600,0.0,0.04991474972453312,0.1899999999999995,0.0,0.14732949944906612
66,J2025120900252205,8565,0.02,0.03436701429426626,0.240000000000002,0.0,0.14873402858853302
112,J2025121015234827,9734,0.01,0.06062689684244984,0.07000000000000028,0.0,0.14875379368489974
168,J2025121308414069,10998,0.01,0.05582948300246066,0.10999999999999943,0.0,0.14915896600492118
158,J2025121219235649,10590,0.02,0.03160161341893504,0.2699999999999996,0.0,0.15070322683786996
50,J2025120823200429,8484,0.01,0.06296121060097325,0.05999999999999517,0.0,0.1509224212019453
220,J2026010703564097,15450,0.01,0.0692247316440442,0.00999999999999801,0.0,0.15094946328808792
254,J2026012803520650,16948,0.0,0.06554462570551113,0.0799999999999983,0.0,0.15108925141102184
96,J2025120908302277,8969,0.01,0.05365296336567379,0.16000000000000014,0.0,0.1573059267313476
323,J2026042221062229,23201,0.0,0.07498712204351975,0.030000000000001137,0.0,0.15747424408703978
111,J2025121008043604,9606,0.0,0.07367869285805406,0.04999999999999716,0.0,0.15985738571610741
172,J2025121320151480,11323,0.01,0.07518041151222332,0.0,0.0,0.16036082302444665
250,J2026012313091638,16591,0.0,0.054300121024227946,0.20999999999999908,0.0,0.16110024204845566
188,J2025121810201459,12859,0.0,0.07351523843460538,0.060000000000002274,0.0,0.16203047686921132
90,J2025120906320487,8883,0.01,0.07005512441194538,0.05000000000000426,0.0,0.16261024882389183
75,J2025120901290288,8629,0.01,0.0692521686443438,0.060000000000002274,0.0,0.16350433728868818
65,J2025120900220526,8562,0.01,0.06551667203424624,0.08999999999999986,0.0,0.16353334406849246
247,J2026012223312964,16468,0.02,0.042298965163067755,0.240000000000002,0.0,0.164597930326136
287,J2026031107383529,19137,0.01,0.05309575411264601,0.20000000000000284,0.0,0.16619150822529272
242,J2026011704364386,16111,0.0,0.05564249078226453,0.21999999999999886,0.0,0.16628498156452876
326,J2026042315422576,23513,0.01,0.07536944379205474,0.030000000000001137,0.0,0.16823888758410976
173,J2025121417511988,11813,0.01,0.06340610713915948,0.13000000000000256,0.0,0.1693122142783196
165,J2025121302035358,10827,0.02,0.058968873168137724,0.129999999999999,0.0,0.1704377463362752
194,J2025122003472322,13240,0.0,0.08276477187970015,0.019999999999999574,0.0,0.1705295437594002
78,J2025120902582677,8707,0.01,0.07663267025132033,0.03999999999999915,0.0,0.17326534050264045
7,J2025100816163326,3769,0.01,0.05602984765030335,0.2099999999999973,0.0,0.174559695300606
155,J2025121217373499,10494,0.01,0.07849104878423832,0.03999999999999915,0.0,0.17698209756847644
135,J2025121211590303,10226,0.0,0.06296580140174596,0.21000000000000085,0.0,0.17843160280349213
193,J2025121921375093,13200,0.01,0.04705251449657814,0.29999999999999893,0.0,0.179105028993156
147,J2025121212542367,10283,0.01,0.07464974818497917,0.08000000000000185,0.0,0.17929949636995882
72,J2025120901184301,8618,0.01,0.0586845220545978,0.21000000000000085,0.0,0.17986904410919582
321,J2026042021344754,21851,0.01,0.08198042133157389,0.030000000000001137,0.0,0.18146084266314808
219,J2026010703044429,15445,0.01,0.06711959677245279,0.14999999999999858,0.0,0.18173919354490523
170,J2025121314594183,11182,0.0,0.07867832921262419,0.10000000000000142,0.0,0.18235665842524873
181,J2025121601145906,12185,0.0,0.08505029638711792,0.05999999999999872,0.0,0.18510059277423552
53,J2025120823232985,8488,0.01,0.0668902638608377,0.16999999999999815,0.0,0.18628052772167494
92,J2025120907071657,8904,0.01,0.08822676750706339,0.00999999999999801,0.0,0.1889535350141263
328,J2026042423333787,23958,0.01,0.08812729088491146,0.01999999999999602,0.0,0.19125458176982194
176,J2025121501482786,11917,0.01,0.08365156374216404,0.05999999999999872,0.0,0.19230312748432776
182,J2025121606444668,12257,0.0,0.06927006895296271,0.22000000000000064,0.0,0.19354013790592559
162,J2025121223092571,10734,0.0,0.08610135299960185,0.08999999999999986,0.0,0.19470270599920367
150,J2025121214253919,10367,0.0,0.07508260816548225,0.17999999999999972,0.0,0.19516521633096443
235,J2026011113153528,15775,0.01,0.08451585108655985,0.07000000000000028,0.0,0.19653170217311977
163,J2025121223093913,10735,0.0,0.08937328107828178,0.0799999999999983,0.0,0.19874656215656314
209,J2025123007525581,14556,0.01,0.09359055691711055,0.00999999999999801,0.0,0.1996811138342206
175,J2025121423535605,11893,0.0,0.09676872707533041,0.030000000000001137,0.0,0.2010374541506611
51,J2025120823222684,8486,0.0,0.07932527326840491,0.16999999999999815,0.0,0.20115054653680936
55,J2025120823304731,8500,0.01,0.08737431695113641,0.07000000000000028,0.0,0.2022486339022729
6,J2025100611310731,3719,0.0,0.10166117778711903,0.0,0.0,0.20332235557423806
32,J2025111811054928,7119,0.01,0.09589017314480093,0.019999999999999574,0.0,0.20678034628960176
313,J2026041118100155,21129,0.01,0.08596853887695725,0.11000000000000654,0.0,0.20943707775391615
34,J2025111817212096,7164,0.01,0.10002103034530635,0.0,0.0,0.2100420606906127
109,J2025121007200270,9592,0.0,0.0998967141122767,0.05000000000000071,0.0,0.21229342822455358
105,J2025120918094599,9312,0.01,0.092442515848905,0.07000000000000028,0.0,0.2123850316978101
332,J2026050103152693,25535,0.01,0.09178485625210574,0.0799999999999983,0.0,0.21356971250421106
80,J2025120903562953,8757,0.01,0.09345362917776986,0.07000000000000028,0.0,0.2144072583555398
198,J2025122204323590,13586,0.0,0.09346152470618926,0.10999999999999943,0.0,0.21442304941237839
232,J2026011003115989,15683,0.01,0.10340787664696285,0.0,0.0,0.21681575329392572
141,J2025121212213907,10257,0.01,0.09407179275006289,0.0799999999999983,0.0,0.21814358550012536
87,J2025120906243103,8877,0.01,0.08066294439313947,0.18999999999999773,0.0,0.21882588878627837
156,J2025121218424938,10555,0.01,0.07709511346918785,0.22000000000000242,0.0,0.2191902269383763
116,J2025121110225761,9980,0.0,0.10838920121230536,0.010000000000001563,0.0,0.2192784024246111
131,J2025121211493371,10212,0.0,0.09769451256755948,0.09999999999999964,0.0,0.22038902513511888
108,J2025121007143897,9588,0.01,0.0840387814660931,0.1699999999999946,0.0,0.22057756293218486
94,J2025120907392894,8933,0.02,0.08206972547741222,0.14999999999999858,0.0,0.22163945095482407
128,J2025121211473436,10209,0.01,0.09347101769207138,0.10000000000000142,0.0,0.22194203538414312
295,J2026032418363480,19760,0.01,0.10602987331216335,0.00999999999999801,0.0,0.2245597466243262
25,J2025111406233075,6609,0.01,0.09989002344481444,0.060000000000002274,0.0,0.22478004688962946
68,J2025120900575558,8599,0.0,0.09645755984813205,0.14000000000000057,0.0,0.22791511969626424
43,J2025120109480157,8159,0.02,0.07918639387462886,0.21000000000000085,0.0,0.23087278774925793
244,J2026011902365805,16227,0.01,0.10566527979928549,0.04999999999999716,0.0,0.23383055959857027
88,J2025120906254092,8878,0.0,0.07213532698758124,0.35999999999999943,0.0,0.23427065397516234
82,J2025120904042714,8759,0.0,0.11224580921721554,0.03999999999999915,0.0,0.23449161843443087
177,J2025121503092748,11933,0.0,0.10486138941828371,0.09999999999999432,0.0,0.234722778836566
37,J2025112419095167,7807,0.02,0.08819167820770688,0.1599999999999966,0.0,0.2363833564154129
166,J2025121306163732,10940,0.0,0.09479969663787903,0.19000000000000128,0.0,0.23709939327575838
189,J2025121811404196,12874,0.0,0.0853489138856289,0.2699999999999996,0.0,0.2381978277712577
126,J2025121211464936,10207,0.02,0.09820868723319995,0.08999999999999986,0.0,0.23891737446639985
85,J2025120904453162,8790,0.0,0.10505463036826614,0.120000000000001,0.0,0.24010926073653252
212,J2026010101302196,14777,0.02,0.07259304728488573,0.3000000000000007,0.0,0.24018609456977164
110,J2025121007494671,9601,0.01,0.09799673888797616,0.14000000000000057,0.0,0.24099347777595248
310,J2026040511213423,20779,0.0,0.1162258776353235,0.03999999999999915,0.0,0.24245175527064677
149,J2025121214220005,10363,0.0,0.10801671681342837,0.10999999999999943,0.0,0.2435334336268566
73,J2025120901205627,8620,0.01,0.07231828485404715,0.35999999999999943,0.0,0.24463656970809416
70,J2025120901012330,8603,0.02,0.04278038597402728,0.5599999999999987,0.0,0.24556077194805426
317,J2026042017045151,21636,0.01,0.09779352395961945,0.1599999999999966,0.0,0.24558704791923805
306,J2026040223222070,20637,0.0,0.10632483394194288,0.14000000000000057,0.0,0.2476496678838859
23,J2025111311334922,6471,0.01,0.1101495978146311,0.08000000000000007,0.0,0.25029919562926223
187,J2025121718501744,12702,0.02,0.10554579760602152,0.0799999999999983,0.0,0.2510915952120426
178,J2025121503105037,11934,0.01,0.1125020683518685,0.0799999999999983,0.0,0.25500413670373656
101,J2025120913472621,9170,0.0,0.12565142592527986,0.020000000000003126,0.0,0.2563028518505605
83,J2025120904144184,8765,0.0,0.12949825276450525,0.0,0.0,0.2589965055290105
2,J2025100123500609,3601,0.0,0.12826083911469757,0.010000000000005116,0.0,0.2590216782293964
318,J2026042017422439,21669,0.01,0.11626793458515533,0.07000000000000028,0.0,0.26003586917031074
113,J2025121018370283,9788,0.0,0.10941399310869479,0.1700000000000017,0.0,0.26132798621739
86,J2025120905432258,8840,0.02,0.08538931650518158,0.2900000000000009,0.0,0.26327863301036336
146,J2025121212391990,10271,0.01,0.12643543724231965,0.00999999999999801,0.0,0.2653708744846388
164,J2025121301185400,10804,0.02,0.09298624829945426,0.23999999999999488,0.0,0.2659724965989072
60,J2025120823420105,8511,0.01,0.12221548549126787,0.04999999999999716,0.0,0.26693097098253504
183,J2025121610263152,12313,0.02,0.10850937974142641,0.12000000000000455,0.0,0.2670187594828539
98,J2025120908590563,8996,0.01,0.10271702041569564,0.21000000000000085,0.0,0.2679340408313915
121,J2025121206395215,10158,0.01,0.10151252067704558,0.21999999999999886,0.0,0.2680250413540909
185,J2025121614385053,12364,0.0,0.12778628103595216,0.05000000000000071,0.0,0.2680725620719045
84,J2025120904154184,8766,0.0,0.10408359326277761,0.25,0.0,0.2706671865255552
196,J2025122020251175,13372,0.02,0.09556546150033257,0.2400000000000002,0.0,0.2711309230006652
315,J2026041422205770,21275,0.0,0.126791760434525,0.0799999999999983,0.0,0.2735835208690496
139,J2025121212140993,10245,0.0,0.11873699844583778,0.14999999999999858,0.0,0.27497399689167523
133,J2025121211510829,10215,0.01,0.10761833117732571,0.20999999999999908,0.0,0.2777366623546512
56,J2025120823314255,8501,0.0,0.12665751745842108,0.09999999999999787,0.0,0.2783150349168416
120,J2025121203110558,10137,0.02,0.12635726747212433,0.030000000000001137,0.0,0.28021453494424897
169,J2025121314080116,11162,0.01,0.13133843191436229,0.0400000000000027,0.0,0.28267686382872526
283,J2026030123091107,18641,0.01,0.12641203245883548,0.0799999999999983,0.0,0.28282406491767054
320,J2026042019302604,21761,0.02,0.10276379795247065,0.23000000000000043,0.0,0.2830275959049414
204,J2025122601174030,14068,0.0,0.13762513960320588,0.04000000000000625,0.0,0.2852502792064133
134,J2025121211524296,10217,0.01,0.13117092647040765,0.060000000000002274,0.0,0.2873418529408159
243,J2026011807425875,16183,0.01,0.13003271039841882,0.07000000000000028,0.0,0.2875654207968377
93,J2025120907091323,8905,0.03,0.10071916121991059,0.22999999999999687,0.0,0.2889383224398204
38,J2025112512175877,7866,0.02,0.12118168057378341,0.12999999999999545,0.0,0.2948633611475657
195,J2025122020250701,13371,0.01,0.11782177657963688,0.21000000000000085,0.0,0.298143553159274
206,J2025122601254913,14072,0.0,0.12627464865363044,0.18999999999999773,0.0,0.3000492973072603
61,J2025120823593570,8533,0.0,0.13648258041674094,0.12999999999999545,0.0,0.30546516083348074
266,J2026021305494205,17814,0.01,0.021282683303678322,1.04,0.0,0.3125653666073567
297,J2026032711163910,20056,0.0,0.16022573915305416,0.00999999999999801,0.0,0.3229514783061078
289,J2026031603565385,19399,0.01,0.15117644035597635,0.04999999999999716,0.0,0.324852880711952
74,J2025120901215759,8622,0.01,0.14506716173942188,0.09999999999999787,0.0,0.32513432347884325
202,J2025122409181845,13854,0.0,0.15408090240036626,0.0800000000000054,0.0,0.32816180480073387
91,J2025120906524271,8893,0.01,0.13951333687034598,0.16000000000000014,0.0,0.329026673740692
197,J2025122110290170,13466,0.0,0.15374644018340183,0.0899999999999963,0.0,0.32999288036680274
28,J2025111516570429,6817,0.02,0.13684550541503315,0.14999999999999858,0.0,0.33119101083006597
253,J2026012609202260,16820,0.0,0.1620015680329339,0.03999999999999915,0.0,0.33400313606586757
246,J2026012102514124,16334,0.0,0.1651715114031433,0.030000000000001137,0.0,0.33784302280628686
200,J2025122212220181,13632,0.0,0.04170337912953626,1.0199999999999996,0.0,0.3384067582590724
67,J2025120900501705,8592,0.02,0.11677021543717435,0.370000000000001,0.0,0.34604043087434894
214,J2026010202522860,14935,0.0,0.15289590915468967,0.21000000000000085,0.0,0.35829181830937956
324,J2026042302463689,23306,0.01,0.16048211554027295,0.10999999999999943,0.0,0.35846423108054576
130,J2025121211485618,10211,0.02,0.1631205131904622,0.05999999999999872,0.0,0.3612410263809241
199,J2025122208330138,13611,0.0,0.17525647667821354,0.05000000000000426,0.0,0.36301295335642814
58,J2025120823333927,8505,0.0,0.17808209570938155,0.02999999999999403,0.0,0.3636641914187616
132,J2025121211505272,10214,0.02,0.09044065607321215,0.6600000000000001,0.0,0.36588131214642433
129,J2025121211475673,10210,0.01,0.15121253678839547,0.23999999999999844,0.0,0.37242507357679056
71,J2025120901081062,8606,0.01,0.17778650592515371,0.04999999999999716,0.0,0.37807301185030673
205,J2025122601194948,14069,0.01,0.17279188820623637,0.0899999999999963,0.0,0.3780837764124718
4,J2025100423151668,3670,0.0,0.1842474925274006,0.05000000000000426,0.0,0.3809949850548023
103,J2025120914482455,9206,0.01,0.1823089934483849,0.07000000000000028,0.0,0.39211798689676985
201,J2025122305034928,13719,0.0,0.19985042600879943,0.020000000000003126,0.0,0.40470085201759964
81,J2025120904011085,8758,0.01,0.1924586037238349,0.03999999999999915,0.0,0.40491720744766957
229,J2026010919255106,15659,0.01,0.19887954284824574,0.01999999999999602,0.0,0.4127590856964905
268,J2026021605271671,17999,0.03,0.077370905701629,0.93,0.0,0.417241811403258
192,J2025121917355737,13164,0.0,0.1242101384345034,0.6799999999999997,0.0,0.41842027686900674
140,J2025121212145056,10246,0.01,0.19024806453479653,0.13000000000000078,0.0,0.4229961290695933
154,J2025121216554150,10466,0.0,0.20659183748677432,0.03999999999999915,0.0,0.4231836749735484
122,J2025121207091989,10164,0.01,0.16256325106437622,0.39000000000000057,0.0,0.4326265021287526
215,J2026010214105108,14991,0.02,0.13841317416580498,0.5600000000000023,0.0,0.43682634833161055
136,J2025121212001708,10228,0.0,0.1906071968728088,0.29999999999999716,0.0,0.4562143937456169
57,J2025120823322807,8503,0.01,0.1745414397446011,0.41000000000000014,0.0,0.46158287948920224
210,J2025123108513581,14656,0.01,0.2238039755516844,0.019999999999999574,0.0,0.4626079511033687
294,J2026032212320288,19681,0.01,0.09679267748833238,1.04,0.0,0.46358535497666475
115,J2025121023522419,9853,0.0,0.22540356192433003,0.09000000000000341,0.0,0.4733071238486609
49,J2025120823151018,8483,0.0,0.23423462971739356,0.03999999999999915,0.0,0.4784692594347869
292,J2026031813334497,19512,0.01,0.22124191524947112,0.1599999999999966,0.0,0.4924838304989414
160,J2025121221242487,10680,0.01,0.2429069031374632,0.05000000000000071,0.0,0.5083138062749266
33,J2025111812033664,7131,0.01,0.22092606955810248,0.28999999999999915,0.0,0.5243521391162047
106,J2025120918200217,9316,0.02,0.21819795214163393,0.33999999999999986,0.0,0.5413959042832679
76,J2025120902124411,8671,0.01,0.26044812207207146,0.0799999999999983,0.0,0.5508962441441425
30,J2025111806243123,7092,0.01,0.2678196623933239,0.07000000000000739,0.0,0.5631393247866496
52,J2025120823225346,8487,0.02,0.2826365594896628,0.3000000000000007,0.0,0.6602731189793258
54,J2025120823254773,8493,0.01,0.31964906291836614,0.120000000000001,0.0,0.6792981258367325
114,J2025121023012950,9844,0.01,0.3537866588341544,0.00999999999999801,0.0,0.7200733176683083
100,J2025120909182715,9006,0.01,0.35052601380778403,0.04999999999999716,0.0,0.7235520276155674
26,J2025111408052175,6624,0.01,0.3592119187050352,0.020000000000010232,0.0,0.733423837410073
298,J2026032802191210,20163,0.0,0.4698464570711511,0.010000000000001563,0.0,0.9421929141423026
142,J2025121212234171,10258,0.0,0.30483845870304066,1.8100000000000005,0.0,1.0621769174060813
12,J2025101517502029,3938,0.0,1.2851140253531006,0.030000000000001137,0.0,2.5777280507062015
