event_code,mechanism_origin_time,matched_event_id,time_residual_seconds,distance_residual_km,depth_residual_km,mag_residual,within_primary_tolerance,ambiguity_flag,focal_mech_projection,focal_mech_score,strike_plane1,dip_plane1,rake_plane1,strike_plane2,dip_plane2,rake_plane2,region_name
J2025120902161558,2025-12-08 17:16:15.580000+00:00,EVT_005100,48.82,351.0935448250307,9.580000000000005,1.7999999999999998,False,False,,,,,,,,,OFF NEMURO PENINSULA
J2025120902582677,2025-12-08 17:58:26.770000+00:00,EVT_005134,0.01,0.10522926569431397,0.10000000000000142,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120903535291,2025-12-08 18:53:52.910000+00:00,EVT_005183,0.01,0.018737032021283594,0.0400000000000027,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120903562953,2025-12-08 18:56:29.530000+00:00,EVT_005184,0.01,0.09489140355768698,0.03999999999999915,0.0,True,True,LOW,95.0,183.0,35.0,97.0,355.0,55.0,85.0,E OFF AOMORI PREF
J2025120904011085,2025-12-08 19:01:10.850000+00:00,EVT_005185,0.01,0.09348263714393816,0.22000000000000242,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120904042714,2025-12-08 19:04:27.140000+00:00,EVT_005186,0.0,0.04361339998971887,0.08999999999999986,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120904144184,2025-12-08 19:14:41.840000+00:00,EVT_005192,0.0,0.07504610975126536,0.029999999999997584,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120904154184,2025-12-08 19:15:41.840000+00:00,EVT_005193,0.0,0.07423354080643527,0.14000000000000057,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120904453162,2025-12-08 19:45:31.620000+00:00,EVT_005217,0.0,0.07344544258377497,0.16000000000000014,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120905432258,2025-12-08 20:43:22.580000+00:00,EVT_005266,0.0,0.10130481543526483,0.14000000000000057,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120906243103,2025-12-08 21:24:31.030000+00:00,EVT_005303,0.01,0.04040083395902515,0.10999999999999943,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120906254092,2025-12-08 21:25:40.920000+00:00,EVT_005304,0.0,0.10073787308060876,0.03999999999999915,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120906312554,2025-12-08 21:31:25.540000+00:00,EVT_005308,0.78,238.16475246359607,3.059999999999995,0.40000000000000036,False,False,,,,,,,,,E OFF IWATE PREF
J2025120906320487,2025-12-08 21:32:04.870000+00:00,EVT_005309,0.01,0.1050393950972798,0.05999999999999517,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120906524271,2025-12-08 21:52:42.710000+00:00,EVT_005319,0.01,0.05364424431799015,0.22999999999999865,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120907071657,2025-12-08 22:07:16.570000+00:00,EVT_005330,0.01,0.08482892042332978,0.00999999999999801,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120907091323,2025-12-08 22:09:13.230000+00:00,EVT_005331,0.03,0.055663590931715225,0.25,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120907392894,2025-12-08 22:39:28.940000+00:00,EVT_005359,0.02,0.11939617418580296,0.10999999999999943,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120908030994,2025-12-08 23:03:09.940000+00:00,EVT_005377,0.0,0.04889258532638169,0.27000000000000135,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120908302277,2025-12-08 23:30:22.770000+00:00,EVT_005396,0.01,0.06860973801275182,0.18999999999999773,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120908305894,2025-12-08 23:30:58.940000+00:00,EVT_005397,0.0,0.10045395388157209,746.28,0.0,False,False,,,,,,,,,E OFF AOMORI PREF
J2025120908590563,2025-12-08 23:59:05.630000+00:00,EVT_005423,0.01,0.09968583168812944,0.10000000000000142,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120909090467,2025-12-09 00:09:04.670000+00:00,EVT_005427,0.01,0.038376090170099623,0.04999999999999716,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120909182715,2025-12-09 00:18:27.150000+00:00,EVT_005433,0.0,0.37378334865425783,0.04999999999999716,0.0,True,True,LOW,95.0,185.0,24.0,71.0,25.0,67.0,98.0,E OFF AOMORI PREF
J2025120913472621,2025-12-09 04:47:26.210000+00:00,EVT_005599,0.0,0.1822039576428288,0.00999999999999801,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120914154775,2025-12-09 05:15:47.750000+00:00,EVT_005621,0.01,0.018880118055854357,0.26000000000000156,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120914482455,2025-12-09 05:48:24.550000+00:00,EVT_005635,0.02,0.061467675848701366,0.28999999999999915,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120917403053,2025-12-09 08:40:30.530000+00:00,EVT_005724,0.01,0.07359207355298555,0.07000000000000028,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
J2025120918094599,2025-12-09 09:09:45.990000+00:00,EVT_005741,0.01,0.09303435000643231,0.060000000000002274,0.0,True,True,LOW,91.0,191.0,25.0,70.0,33.0,67.0,99.0,E OFF AOMORI PREF
J2025120918200217,2025-12-09 09:20:02.170000+00:00,EVT_005745,0.02,0.1414505767676218,0.2699999999999996,0.0,True,True,,,,,,,,,E OFF AOMORI PREF
