global_window_id,window_family,stage_label,window_index,window_label,start_time,end_time,duration_hours,is_terminal_partial_window,n_events,magnitude_min,magnitude_max,magnitude_mean,magnitude_median,depth_mean_km,depth_median_km,centroid_x_km_local,centroid_y_km_local,centroid_longitude,centroid_latitude,principal_axis_azimuth_deg,major_spread_km,minor_spread_km,anisotropy_ratio,spatial_footprint_area_km2,along_strike_centroid_km,cross_strike_centroid_km,along_strike_spread_km,cross_strike_spread_km,centroid_distance_to_mainshock64_km,centroid_azimuth_from_mainshock64_deg,centroid_distance_to_mainshock71_km,centroid_azimuth_from_mainshock71_deg,window_mid_time,window_start_hours_since_mainshock64,window_end_hours_since_mainshock64,window_start_hours_since_mainshock71,window_end_hours_since_mainshock71,orientation_event_count_sufficient,cluster_event_count_sufficient,prev_centroid_x_km_local,prev_centroid_y_km_local,prev_principal_axis_azimuth_deg,centroid_step_dx_km,centroid_step_dy_km,centroid_step_distance_km,centroid_step_azimuth_deg,principal_axis_azimuth_change_deg,cumulative_centroid_distance_km
10,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,10,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0010,2019-07-05T13:33:49.040000Z,2019-07-05T15:33:49.040000Z,2.0,False,283,0.41,4.08,1.245053003533569,1.12,5.70779151844523,5.571732890000001,-2.300107978007086,-10.429752695511477,-117.55491304047733,35.69746927575042,7.060769777313055,7.296037887177419,3.9097577991898573,1.8661099387509974,648.9869649234099,3.5938252399976673,4.232126992801264,5.260491147643341,6.391056859786203,5.552159826485668,262.24145549554555,9.402850146821871,158.65374888617862,2019-07-05T14:33:49.040000Z,20.0,22.0,-13.767777777777777,-11.767777777777777,True,True,-2.3520298215296185,-8.855508360508965,359.4916033459477,0.051921843522532374,-1.5742443350025113,1.5751003473183152,178.11095112807016,7.569166431365375,12.630182420166502
11,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,11,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0011,2019-07-05T15:33:49.040000Z,2019-07-05T17:33:49.040000Z,2.0,False,314,0.4,4.23,1.108407643312102,0.975,5.723946423280255,5.655201845000001,-1.947649310675471,-11.622109314343641,-117.55100534730246,35.68674615505766,13.840297988087173,7.249555524710009,3.9839672592589643,1.819682505638477,520.2347441783185,2.535142646077468,4.884148912663204,4.898090588688387,6.6660902344405075,5.502895495739476,249.33610482748503,10.642229785666345,159.22305582366266,2019-07-05T16:33:49.040000Z,22.0,24.0,-11.767777777777777,-9.767777777777777,True,True,-2.300107978007086,-10.429752695511477,7.060769777313055,0.352458667331615,-1.1923566188321644,1.2433589259140134,163.53240678660302,6.779528210774117,13.873541346080515
12,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,12,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0012,2019-07-05T17:33:49.040000Z,2019-07-05T19:33:49.040000Z,2.0,False,287,0.23,3.68,1.090418118466899,0.98,5.726278802439024,5.484634850000001,-1.7984273295187956,-11.584447663760697,-117.54935093000091,35.687084854418494,6.246986456004322,7.397921254835911,4.20795476322992,1.7580800343864564,929.5344618151447,2.4492362685862337,4.7564551622629265,5.50341850957509,6.492188143500513,5.350011589704816,249.14955095406503,10.661047131311792,158.40141595889463,2019-07-05T18:33:49.040000Z,24.0,26.0,-9.767777777777777,-7.767777777777778,True,True,-1.947649310675471,-11.622109314343641,13.840297988087173,0.1492219811566755,0.037661650582943906,0.15390126570290116,75.8351225422544,7.593311532082851,14.027442611783416
13,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,13,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0013,2019-07-05T19:33:49.040000Z,2019-07-05T21:33:49.040000Z,2.0,False,283,0.29,2.99,1.1347703180212014,1.03,5.659549052826856,5.60802374,-1.6684964404374474,-12.378903888346427,-117.54791039215765,35.67994013794124,10.02640471336133,7.815109353556783,4.2400698593013,1.843155799995379,749.7417247257606,1.8219255864623096,5.260958915285339,5.477060955511526,7.003993854181859,5.567504068334959,241.00581244884893,11.44883540978706,159.26038532178688,2019-07-05T20:33:49.040000Z,26.0,28.0,-7.767777777777778,-5.767777777777778,True,True,-1.7984273295187956,-11.584447663760697,6.246986456004322,0.1299308890813482,-0.7944562245857298,0.8050110115523148,170.71168113048725,3.7794182573570083,14.83245362333573
14,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,14,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0014,2019-07-05T21:33:49.040000Z,2019-07-05T23:33:49.040000Z,2.0,False,279,0.3,3.17,1.1219713261648745,0.99,5.865155468602151,5.869317860000001,-2.135424933523762,-12.422567477315377,-117.55308720707161,35.67954746185171,7.677353465351189,7.778169033461768,4.503064219612322,1.7273058197982807,761.9802281587246,2.140280028559356,5.605312187165517,5.744817762818002,6.911915056702234,6.000026942959197,242.8026922368757,11.333342459150233,161.54675548582816,2019-07-05T22:33:49.040000Z,28.0,30.0,-5.767777777777778,-3.767777777777778,True,True,-1.6684964404374474,-12.378903888346427,10.02640471336133,-0.46692849308631446,-0.043663588968950506,0.468965592189348,264.65767195533033,2.3490512480101415,15.301419215525078
15,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,15,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0015,2019-07-05T23:33:49.040000Z,2019-07-06T01:33:49.040000Z,2.0,False,229,0.16,4.05,1.2190829694323144,1.04,5.656041764235809,5.5499583800000005,-1.5939617460367426,-9.83159490702009,-117.54708402939914,35.70284863797981,357.0578061403676,6.810955674638015,4.103438882915138,1.6598165268150455,822.3603843414862,3.4677705438483306,3.315314332309757,5.615558157696898,5.629638926718787,4.7975766452241935,268.1918627135568,9.144766242846096,153.16037481530566,2019-07-06T00:33:49.040000Z,30.0,32.0,-3.767777777777778,-1.7677777777777777,True,True,-2.135424933523762,-12.422567477315377,7.677353465351189,0.5414631874870193,2.5909725702952873,2.6469456442145107,11.803831241825264,10.619547324983614,17.948364859739588
16,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,16,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0016,2019-07-06T01:33:49.040000Z,2019-07-06T03:33:49.040000Z,2.0,False,252,0.27,7.1,1.6437698412698412,1.0550000000000002,5.790588501071429,5.8475433500000005,-2.2680070995389063,-9.97435735827824,-117.55455713950134,35.701564744410504,338.4769269513871,9.926195043316715,5.598366967626084,1.7730518740049284,1192.5733975468363,3.874087082476243,3.871754020420269,9.224137688397025,6.692260055292664,5.477137018301606,266.9215605661218,8.992509737730515,157.40697694190408,2019-07-06T02:33:49.040000Z,32.0,34.0,-1.7677777777777777,0.23222222222222222,True,True,-1.5939617460367426,-9.83159490702009,357.0578061403676,-0.6740453535021638,-0.14276245125815024,0.6889980087540839,258.04150920791,18.580879188980475,18.63736286849367
17,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,17,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0017,2019-07-06T03:33:49.040000Z,2019-07-06T05:33:49.040000Z,2.0,False,320,2.27,5.5,3.384375,3.35,6.4045852157187495,6.097950215000001,-7.138136841019838,0.15340452079915748,-117.60855204589907,35.792645895185046,323.4226800238944,16.54643402249554,4.2267892932345905,3.91465788204295,2088.446918600526,14.262951814496251,-0.41324469112462703,16.235154251497935,5.298112212880093,14.268937088563552,313.56388613720037,2.309805666548263,322.21051322292067,2019-07-06T04:33:49.040000Z,34.0,36.0,0.23222222222222222,2.232222222222222,True,True,-2.2680070995389063,-9.97435735827824,338.4769269513871,-4.870129741480932,10.127761879077397,11.23787009971865,334.31852750426566,15.054246927492727,29.875232968212323
18,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,18,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0018,2019-07-06T05:33:49.040000Z,2019-07-06T07:33:49.040000Z,2.0,False,332,1.79,4.76,2.7245783132530117,2.68,6.274988349518072,6.181419170000001,-7.76992080804182,0.8246959292304545,-117.6155566059362,35.79868296385974,323.26854233254295,15.907394085856811,3.66523813469121,4.340071095325156,1707.016092429966,15.181512007194154,-0.49089975155532006,15.612233066059204,4.768368261553919,15.189446645307964,313.7563376852144,3.228636424824256,320.64978990887266,2019-07-06T06:33:49.040000Z,36.0,38.0,2.232222222222222,4.232222222222222,True,True,-7.138136841019838,0.15340452079915748,323.4226800238944,-0.631783967021982,0.6712914084312971,0.9218368272203641,316.73659674114316,0.15413769135142275,30.797069795432687
19,whole_sequence,2h_mainshock64_to_mainshock71_plus_1day,19,whole_sequence_2h_mainshock64_to_mainshock71_plus_1day_0019,2019-07-06T07:33:49.040000Z,2019-07-06T09:33:49.040000Z,2.0,False,311,1.45,4.91,2.566141479099678,2.48,6.235493703408361,5.862059690000001,-6.565845834677269,-0.47463804716168323,-117.60220708160446,35.78699777267702,322.9380478604122,16.787605480239872,4.617476191270797,3.635666928175254,2046.88436791885,13.417555336481938,-0.32804341136642506,16.500961844034073,5.5554515891027325,13.42156487475644,313.3048382280648,1.4643588052090515,324.8494700504376,2019-07-06T08:33:49.040000Z,38.0,40.0,4.232222222222222,6.232222222222222,True,True,-7.76992080804182,0.8246959292304545,323.26854233254295,1.204074973364551,-1.2993339763921377,1.7714585300508303,137.17915130389162,0.3304944721307379,32.56852832548352
