stage,interval_index,interval_label,start_time,end_time,event_count_actual,peak_density,hotspot_x_m,hotspot_y_m,hotspot_longitude,hotspot_latitude,step_distance_m,cumulative_path_length_m,distance_to_mainshock71_m,nearest_fault_distance_m,fault_points_within_3km
stage2,3,stage2_03,2019-07-05T01:33:49.040000+00:00,2019-07-05T03:33:49.040000+00:00,291,8.772259693925203e-09,454756.43976057204,3948645.1371886483,-117.49998437849133,35.68066064757233,247.49572923453525,1516.8772590835667,13524.393615865492,275.0887208767404,466
stage2,4,stage2_04,2019-07-05T03:33:49.040000+00:00,2019-07-05T05:33:49.040000+00:00,287,8.693363009853723e-09,455153.7001576952,3949140.128647118,-117.49562202116826,35.68514168224005,634.6907649243524,2151.568024007919,13393.983435795608,583.085688883273,356
stage2,5,stage2_05,2019-07-05T05:33:49.040000+00:00,2019-07-05T07:33:49.040000+00:00,280,8.656859834169803e-09,454557.80956201046,3948645.1371886483,-117.50217935580245,35.68065151217169,774.6626013841999,2926.230625392119,13402.812605188365,253.03159063072803,506
stage2,6,stage2_06,2019-07-05T07:33:49.040000+00:00,2019-07-05T09:33:49.040000+00:00,283,9.26205859263472e-09,454756.43976057204,3948645.1371886483,-117.49998437849133,35.68066064757233,198.63019856158644,3124.860823953705,13524.393615865492,275.0887208767404,466
stage2,7,stage2_07,2019-07-05T09:33:49.040000+00:00,2019-07-05T11:33:49.040000+00:00,276,7.005870636749462e-09,449393.4243994093,3955822.5133364596,-117.55970067612239,35.74511077593693,8959.724445050633,12084.58526900434,4571.573487072923,772.921531046893,446
stage2,8,stage2_08,2019-07-05T11:33:49.040000+00:00,2019-07-05T13:33:49.040000+00:00,306,1.529500068877522e-08,448797.53380372457,3956812.496253399,-117.56635407562874,35.75400550203722,1155.4876796650206,13240.07294866936,3437.6408277325113,1065.2957855303016,394
stage2,9,stage2_09,2019-07-05T13:33:49.040000+00:00,2019-07-05T15:33:49.040000+00:00,283,9.674101095113343e-09,449194.79420084774,3956317.5047949296,-117.56192876688559,35.749563324179725,634.6907649243524,13874.763713593713,4070.2103828004374,895.5925387387724,428
stage2,10,stage2_10,2019-07-05T15:33:49.040000+00:00,2019-07-05T17:33:49.040000+00:00,314,7.733875484961514e-09,449393.4243994093,3955822.5133364596,-117.55970067612239,35.74511077593693,533.3577596125089,14408.121473206222,4571.573487072923,772.921531046893,446
stage2,11,stage2_11,2019-07-05T17:33:49.040000+00:00,2019-07-05T19:33:49.040000+00:00,287,6.359331391897521e-09,449989.3149950941,3955575.0176072246,-117.55309506210052,35.74290985657384,645.2439368293996,15053.365410035622,5155.689881679736,1144.0905787960962,266
stage2,12,stage2_12,2019-07-05T19:33:49.040000+00:00,2019-07-05T21:33:49.040000+00:00,283,6.917149703274092e-09,454160.5491648873,3948150.1457301783,-117.50654110225865,35.67617024154794,8516.332361398503,23569.697771434126,13568.688097439102,182.23335463671907,548
stage2,13,stage2_13,2019-07-05T21:33:49.040000+00:00,2019-07-05T23:33:49.040000+00:00,279,5.48504073556965e-09,454756.43976057204,3948892.632917883,-117.49999830008063,35.68289208846081,952.0361473867102,24521.733918820835,13330.43714689138,128.7110742681406,466
stage2,14,stage2_14,2019-07-05T23:33:49.040000+00:00,2019-07-06T01:33:49.040000+00:00,229,8.520830093484892e-09,449790.6847965325,3955575.0176072246,-117.55529172802599,35.7428997377304,8325.44218040295,32847.17609922378,5020.0688328405595,956.6882608651272,383
stage2,15,stage2_15,2019-07-06T01:33:49.040000+00:00,2019-07-06T03:19:53.040000+00:00,214,6.318294183728927e-09,449989.3149950941,3954832.53041952,-117.55304876532225,35.736215655477366,768.5968902396157,33615.772989463396,5714.1488771853,655.915373446371,484
