event_id,origin_time,latitude,longitude,depth_km,magnitude,region,npicks
128,2025-06-01T18:49:21.700000Z,42.333333,144.485667,17.280,2.30,SE OFF TOKACHI,38
129,2025-06-01T18:51:54.330000Z,41.716500,143.719167,26.750,6.10,SE OFF ERIMOMISAKI,40
130,2025-06-01T19:05:17.490000Z,39.112833,142.384833,30.550,1.70,E OFF IWATE PREF,32
131,2025-06-01T19:08:34.250000Z,41.756167,143.655000,28.000,4.60,SE OFF ERIMOMISAKI,40
132,2025-06-01T19:15:17.580000Z,38.608833,141.690333,62.830,0.60,KINKAZAN REGION,17
133,2025-06-01T19:17:34.300000Z,41.709833,143.723333,7.390,1.50,SE OFF ERIMOMISAKI,15
134,2025-06-01T19:26:16.400000Z,41.702500,143.727500,6.030,1.70,SE OFF ERIMOMISAKI,17
135,2025-06-01T19:30:56.490000Z,41.714500,143.738167,18.560,1.80,SE OFF ERIMOMISAKI,22
136,2025-06-01T19:43:35.720000Z,42.278167,144.470333,13.350,2.00,SE OFF TOKACHI,32
137,2025-06-01T19:45:29.590000Z,42.333000,144.441667,10.080,1.20,SE OFF TOKACHI,9
138,2025-06-01T19:45:51.290000Z,42.323167,144.484000,11.990,1.40,SE OFF TOKACHI,7
139,2025-06-01T19:59:15.440000Z,41.157833,143.250333,13.910,1.60,E OFF AOMORI PREF,19
140,2025-06-01T20:00:55.110000Z,41.712500,143.715000,18.500,1.70,SE OFF ERIMOMISAKI,11
141,2025-06-01T20:36:14.320000Z,41.760667,143.654000,37.360,1.20,SE OFF ERIMOMISAKI,12
142,2025-06-01T21:03:08.200000Z,41.473000,142.998500,28.020,1.00,E OFF AOMORI PREF,7
143,2025-06-01T21:15:28.790000Z,42.324500,144.482333,15.980,1.80,SE OFF TOKACHI,21
144,2025-06-01T21:16:18.860000Z,42.324667,144.471167,16.260,2.00,SE OFF TOKACHI,25
145,2025-06-01T21:19:22.290000Z,41.692167,143.752833,5.410,1.80,SE OFF ERIMOMISAKI,11
146,2025-06-01T21:39:00.590000Z,42.348333,144.497000,15.000,1.30,SE OFF TOKACHI,11
147,2025-06-01T21:40:21.810000Z,41.702833,143.755667,21.590,1.60,SE OFF ERIMOMISAKI,20
148,2025-06-01T21:41:45.580000Z,41.705000,143.739333,3.220,1.60,SE OFF ERIMOMISAKI,15
