domain,cell_id,x_km,y_km,event_count,cumulative_energy,first_activation_hours,peak_rate_time_30m_hours,peak_rate_time_1h_hours,first_nonzero_bin_30m_hours,first_nonzero_bin_1h_hours,longitude,latitude,distance_to_Mw6.4_km,distance_to_Mw7.1_km
Mw7.1_neighborhood,24,-9.18815743406584,1.38924860887942,0,0.0,,,,,,-117.64529379972689,35.69733578434477,13.721006945423953,9.956153875869937
Mw7.1_neighborhood,25,-8.68815743406584,1.38924860887942,0,0.0,,,,,,-117.63976936473426,35.69734031570411,13.22180168299243,9.72753822917186
Mw7.1_neighborhood,26,-8.18815743406584,1.38924860887942,0,0.0,,,,,,-117.63424492913411,35.69734459357986,12.722658837381067,9.519716382329886
Mw7.1_neighborhood,27,-7.68815743406584,1.38924860887942,0,0.0,,,,,,-117.6287204929614,35.69734861797195,12.22358605485312,9.334077351297235
Mw7.1_neighborhood,28,-7.18815743406584,1.38924860887942,0,0.0,,,,,,-117.62319605625112,35.69735238888032,11.724592282395529,9.17196816392207
Mw7.1_neighborhood,29,-6.68815743406584,1.38924860887942,0,0.0,,,,,,-117.61767161903816,35.69735590630492,11.225688056258194,9.034655499796326
Mw7.1_neighborhood,30,-6.18815743406584,1.38924860887942,0,0.0,,,,,,-117.61214718135754,35.69735917024568,10.726885870765429,8.923284148787374
Mw7.1_neighborhood,31,-5.68815743406584,1.38924860887942,0,0.0,,,,,,-117.60662274324422,35.69736218070256,10.228200654681942,8.838834764831844
Mw7.1_neighborhood,32,-5.18815743406584,1.38924860887942,0,0.0,,,,,,-117.60109830473317,35.697364937675516,9.729650393536513,8.782084035125148
Mw7.1_neighborhood,33,-4.68815743406584,1.38924860887942,0,0.0,,,,,,-117.59557386585931,35.697367441164516,9.231256952791117,8.753570700005799
Mw7.1_neighborhood,34,-4.18815743406584,1.38924860887942,1,18197008.586099826,2.941777777777778,2.75,2.5,2.75,2.5,-117.59004942665764,35.69736969116947,8.733047181623574,8.753570700005799
Mw7.1_neighborhood,35,-3.6881574340658396,1.38924860887942,0,0.0,,,,,,-117.58452498716312,35.6973716876904,8.235054415392321,8.782084035125148
Mw7.1_neighborhood,36,-3.1881574340658396,1.38924860887942,0,0.0,,,,,,-117.57900054741069,35.69737343072724,7.737320555107025,8.838834764831844
Mw7.1_neighborhood,37,-2.6881574340658396,1.38924860887942,0,0.0,,,,,,-117.57347610743534,35.69737492027999,7.239898999329395,8.923284148787374
Mw7.1_neighborhood,38,-2.1881574340658396,1.38924860887942,0,0.0,,,,,,-117.567951667272,35.697376156348604,6.742858864643385,9.034655499796326
Mw7.1_neighborhood,39,-1.6881574340658396,1.38924860887942,0,0.0,,,,,,-117.56242722695568,35.69737713893308,6.246291204907837,9.17196816392207
Mw7.1_neighborhood,40,-1.1881574340658396,1.38924860887942,0,0.0,,,,,,-117.55690278652128,35.69737786803339,5.750318422880432,9.334077351297235
Mw7.1_neighborhood,41,-0.6881574340658396,1.38924860887942,0,0.0,,,,,,-117.55137834600383,35.69737834364954,5.255108953440186,9.519716382329886
Mw7.1_neighborhood,42,-0.18815743406583962,1.38924860887942,0,0.0,,,,,,-117.54585390543825,35.69737856578149,4.760900992515631,9.72753822917186
Mw7.1_neighborhood,43,0.3118425659341604,1.38924860887942,1,7413102.413009162,21.22565,21.25,21.5,21.25,21.5,-117.54032946485951,35.697378534429276,4.268042456272597,9.956153875869939
Mw7.1_neighborhood,44,-9.68815743406584,1.88924860887942,0,0.0,,,,,,-117.65082425640561,35.70183738978092,14.202355752837425,9.778803607803972
Mw7.1_neighborhood,45,-9.18815743406584,1.88924860887942,0,0.0,,,,,,-117.64529951124783,35.70184217506404,13.702442011486983,9.519716382329884
Mw7.1_neighborhood,46,-8.68815743406584,1.88924860887942,0,0.0,,,,,,-117.63977476544738,35.701846706840335,13.202534803066134,9.280355596635292
Mw7.1_neighborhood,47,-8.18815743406584,1.88924860887942,0,0.0,,,,,,-117.63425001903923,35.7018509851097,12.702634898877543,9.06228448019593
Mw7.1_neighborhood,48,-7.68815743406584,1.88924860887942,0,0.0,,,,,,-117.62872527205838,35.7018550098721,12.20274319660095,8.8670739254841
Mw7.1_neighborhood,49,-7.18815743406584,1.88924860887942,0,0.0,,,,,,-117.62320052453977,35.701858781127456,11.70286074727884,8.696263565463044
Mw7.1_neighborhood,50,-6.68815743406584,1.88924860887942,0,0.0,,,,,,-117.61767577651838,35.70186229887569,11.202988789524383,8.551315688243536
Mw7.1_neighborhood,51,-6.18815743406584,1.88924860887942,0,0.0,,,,,,-117.6121510280292,35.7018655631168,10.703128793311706,8.4335638967165
Mw7.1_neighborhood,52,-5.68815743406584,1.88924860887942,0,0.0,,,,,,-117.60662627910719,35.701868573850675,10.20328251663293,8.344159634139318
Mw7.1_neighborhood,53,-5.18815743406584,1.88924860887942,0,0.0,,,,,,-117.60110152978734,35.701871331077314,9.703452079658884,8.284020762890446
Mw7.1_neighborhood,54,-4.68815743406584,1.88924860887942,0,0.0,,,,,,-117.59557678010457,35.70187383479665,9.203640063053609,8.253787009609589
Mw7.1_neighborhood,55,-4.18815743406584,1.88924860887942,0,0.0,,,,,,-117.59005203009391,35.70187608500866,8.703849640145132,8.253787009609589
Mw7.1_neighborhood,56,-3.6881574340658396,1.88924860887942,0,0.0,,,,,,-117.58452727979032,35.70187808171329,8.204084757379317,8.284020762890446
Mw7.1_neighborhood,57,-3.1881574340658396,1.88924860887942,0,0.0,,,,,,-117.57900252922875,35.70187982491053,7.704350384962561,8.344159634139318
Mw7.1_neighborhood,58,-2.6881574340658396,1.88924860887942,0,0.0,,,,,,-117.57347777844417,35.70188131460032,7.204652871740724,8.4335638967165
Mw7.1_neighborhood,59,-2.1881574340658396,1.88924860887942,0,0.0,,,,,,-117.56795302747159,35.70188255078268,6.705000458634658,8.551315688243536
Mw7.1_neighborhood,60,-1.6881574340658396,1.88924860887942,1,2540972.705549301,18.485516666666665,18.25,18.5,18.25,18.5,-117.56242827634593,35.70188353345756,6.205404039891366,8.696263565463044
Mw7.1_neighborhood,61,-1.1881574340658396,1.88924860887942,0,0.0,,,,,,-117.55690352510223,35.701884262624965,5.705878323826156,8.8670739254841
Mw7.1_neighborhood,62,-0.6881574340658396,1.88924860887942,1,6683439.175686149,2.7904944444444446,2.75,2.5,2.75,2.5,-117.55137877377538,35.70188473828485,5.206443660918487,9.06228448019593
Mw7.1_neighborhood,63,-0.18815743406583962,1.88924860887942,1,1318256.7385564074,13.250913888888888,13.25,13.5,13.25,13.5,-117.54585402240043,35.70188496043727,4.707129033957685,9.280355596635294
Mw7.1_neighborhood,64,0.3118425659341604,1.88924860887942,1,595662.1435290109,29.1789,29.25,29.5,29.25,29.5,-117.54032927101231,35.70188492908215,4.2079771732195175,9.519716382329886
Mw7.1_neighborhood,65,0.8118425659341604,1.88924860887942,0,0.0,,,,,,-117.534804519646,35.70188464421953,3.7090537928622207,9.778803607803974
Mw7.1_neighborhood,66,-10.68815743406584,2.38924860887942,0,0.0,,,,,,-117.66188038982928,35.706333444641125,15.201900477109012,9.956153875869937
Mw7.1_neighborhood,67,-10.18815743406584,2.38924860887942,0,0.0,,,,,,-117.65635533519682,35.70633873742471,14.70196538779548,9.650129532809391
Mw7.1_neighborhood,68,-9.68815743406584,2.38924860887942,0,0.0,,,,,,-117.65083027985155,35.70634377667828,14.202034868706154,9.360822613424526
Mw7.1_neighborhood,69,-9.18815743406584,2.38924860887942,0,0.0,,,,,,-117.64530522382846,35.70634856240175,13.702109420083994,9.08982948134892
Mw7.1_neighborhood,70,-8.68815743406584,2.38924860887942,0,0.0,,,,,,-117.6397801671625,35.706353094595045,13.202189617937005,8.838834764831844
Mw7.1_neighborhood,71,-8.18815743406584,2.38924860887942,0,0.0,,,,,,-117.63425510988871,35.70635737325811,12.702276128945266,8.609587678861281
