region,cell_id,along_km,across_km,x_km,y_km,event_count,cumulative_energy,first_activation_hours,peak_rate_time_30m_hours,peak_rate_time_1h_hours,first_nonzero_bin_30m_hours,first_nonzero_bin_1h_hours,longitude,latitude,distance_to_Mw6.4_km,distance_to_Mw7.1_km
Region_A,547,23.75,1.25,5.624133791300633,4.842582418609849,0,0.0,,,,,,-117.48161043931677,35.728486638771976,2.9147945874140815,11.371208266285157
Region_A,548,24.25,1.25,5.938791378076498,5.231157511847163,0,0.0,,,,,,-117.47812960224894,35.73198691937644,3.3970321436255575,11.479129969931936
Region_A,549,24.75,1.25,6.253448964852362,5.619732605084481,1,638263.4861905483,15.765691666666664,15.75,15.5,15.75,15.5,-117.47464846051022,35.73548709720662,3.883764576133843,11.607604072242783
Region_A,550,0.25,1.75,-9.553347880402336,-13.105789376768147,0,0.0,,,,,,-117.64915706047833,35.56669024526796,20.74894025477188,23.80119669799169
Region_A,551,0.75,1.75,-9.238690293626473,-12.717214283530831,0,0.0,,,,,,-117.64569054379477,35.570195453793104,20.249995594915564,23.35514957536877
Region_A,552,1.25,1.75,-8.924032706850607,-12.328639190293515,0,0.0,,,,,,-117.64222372509539,35.57370056056972,19.75110431069885,22.91133036554634
Region_A,553,1.75,1.75,-8.609375120074741,-11.940064097056199,1,1230268.770812381,15.713358333333332,15.75,15.5,15.75,15.5,-117.6387566043236,35.57720556557633,19.252270551550886,22.469871084422437
Region_A,554,2.25,1.75,-8.294717533298877,-11.551489003818883,0,0.0,,,,,,-117.6352891814226,35.58071046879144,18.75349890788704,22.030913598439835
Region_A,555,2.75,1.75,-7.980059946523012,-11.162913910581567,1,595662.1435290109,16.677244444444444,16.75,16.5,16.75,16.5,-117.63182145633569,35.5842152701936,18.254794471210218,21.59461047144122
Region_A,556,3.25,1.75,-7.665402359747147,-10.774338817344251,0,0.0,,,,,,-117.6283534290061,35.58771996976133,17.756162904302666,21.16112588792564
Region_A,557,3.75,1.75,-7.350744772971282,-10.385763724106935,2,5976334.020503849,5.9428,5.75,5.5,5.75,5.5,-117.62488509937714,35.59122456747313,17.25761052353833,20.730636658723107
Region_A,558,4.25,1.75,-7.036087186195417,-9.997188630869617,0,0.0,,,,,,-117.62141646739201,35.59472906330751,16.759144395826045,20.303333315181323
Region_A,559,4.75,1.75,-6.721429599419552,-9.608613537632301,1,812830.5161640996,31.854555555555557,31.75,31.5,31.75,31.5,-117.61794753299398,35.59823345724298,16.260772453304746,19.87942129788263
Region_A,560,5.25,1.75,-6.406772012643687,-9.220038444394985,0,0.0,,,,,,-117.61447829612626,35.60173774925805,15.762503629695422,19.45912224562216
Region_A,561,5.75,1.75,-6.0921144258678215,-8.83146335115767,0,0.0,,,,,,-117.6110087567321,35.6052419393312,15.264348023226153,19.04267538980342
Region_A,562,6.25,1.75,-5.777456839091958,-8.442888257920353,1,8222426.499470695,3.596905555555556,3.75,3.5,3.75,3.5,-117.6075389147547,35.608746027440915,14.766317092361758,18.630339058449326
Region_A,563,6.75,1.75,-5.462799252316092,-8.054313164683037,1,2630267.9918953814,27.77402222222222,27.75,27.5,27.75,27.5,-117.60406877013726,35.61225001356571,14.268423892293846,18.222392292565218
Region_A,564,7.25,1.75,-5.148141665540227,-7.6657380714457215,2,21303685.925679844,17.178505555555557,17.25,17.5,17.25,17.5,-117.60059832282298,35.61575389768405,13.770683362425725,17.819136575476882
Region_A,565,7.75,1.75,-4.8334840787643625,-7.277162978208404,3,817348803.5396014,13.78110277777778,13.75,13.5,13.75,13.5,-117.59712757275506,35.6192576797744,13.273112678124733,17.42089767281972
Region_A,566,8.25,1.75,-4.518826491988497,-6.8885878849710895,3,21153099.818102304,24.843022222222224,24.75,24.5,24.75,24.5,-117.59365651987665,35.62276135981525,12.775731684103356,17.028027576857315
Region_A,567,8.75,1.75,-4.204168905212632,-6.5000127917337736,4,606569620.1313581,1.7532222222222222,1.75,1.5,1.75,1.5,-117.59018516413093,35.62626493778508,12.27856343234864,16.6409065435021
Region_A,568,9.25,1.75,-3.8895113184367673,-6.111437698496456,3,24071005.491803553,1.5087555555555556,1.75,1.5,1.75,1.5,-117.58671350546109,35.62976841366234,11.781634855155545,16.25994520350326
