window,version,magnitude_threshold,threshold_label,event_count,duration_days,rate_per_day,fraction_of_full_M1_to_M3,window_start,window_end
pre_M3_primary,m2aware,5.0,M5+,3,34.817514930555554,0.08616353022275078,0.0967741935483871,2026-03-16 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00
pre_M3_primary,m2aware,6.0,M6+,2,34.817514930555554,0.05744235348183385,0.25,2026-03-16 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00
pre_M3_sensitivity_42d,raw,3.0,M3+,55,41.92237430555556,1.3119485933484305,0.1371571072319202,2026-03-09 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00
pre_M3_sensitivity_42d,raw,4.0,M4+,16,41.92237430555556,0.38165777261045253,0.16326530612244897,2026-03-09 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00
pre_M3_sensitivity_42d,raw,5.0,M5+,4,41.92237430555556,0.09541444315261313,0.12903225806451613,2026-03-09 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00
pre_M3_sensitivity_42d,raw,6.0,M6+,2,41.92237430555556,0.047707221576306566,0.25,2026-03-09 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00
pre_M3_sensitivity_42d,m2aware,3.0,M3+,54,41.92237430555556,1.2880949825602772,0.13881748071979436,2026-03-09 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00
pre_M3_sensitivity_42d,m2aware,4.0,M4+,15,41.92237430555556,0.35780416182229924,0.15789473684210525,2026-03-09 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00
pre_M3_sensitivity_42d,m2aware,5.0,M5+,4,41.92237430555556,0.09541444315261313,0.12903225806451613,2026-03-09 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00
pre_M3_sensitivity_42d,m2aware,6.0,M6+,2,41.92237430555556,0.047707221576306566,0.25,2026-03-09 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00
pre_M3_sensitivity_28d,raw,3.0,M3+,49,27.96385972222222,1.7522616865747203,0.12219451371571072,2026-03-23 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00
pre_M3_sensitivity_28d,raw,4.0,M4+,15,27.96385972222222,0.5364066387473634,0.15306122448979592,2026-03-23 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00
pre_M3_sensitivity_28d,raw,5.0,M5+,3,27.96385972222222,0.10728132774947267,0.0967741935483871,2026-03-23 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00
pre_M3_sensitivity_28d,raw,6.0,M6+,2,27.96385972222222,0.07152088516631512,0.25,2026-03-23 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00
pre_M3_sensitivity_28d,m2aware,3.0,M3+,48,27.96385972222222,1.7165012439915628,0.12339331619537275,2026-03-23 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00
pre_M3_sensitivity_28d,m2aware,4.0,M4+,14,27.96385972222222,0.5006461961642058,0.14736842105263157,2026-03-23 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00
pre_M3_sensitivity_28d,m2aware,5.0,M5+,3,27.96385972222222,0.10728132774947267,0.0967741935483871,2026-03-23 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00
pre_M3_sensitivity_28d,m2aware,6.0,M6+,2,27.96385972222222,0.07152088516631512,0.25,2026-03-23 07:52:58.060000+00:00,2026-04-20 07:52:58.060000+00:00
post_M3_7d,raw,3.0,M3+,225,6.995334606481482,32.164294155640206,0.5610972568578554,2026-04-20 07:52:58.060000+00:00,2026-04-27 07:52:58.060000+00:00
post_M3_7d,raw,4.0,M4+,39,6.995334606481482,5.575144320310969,0.3979591836734694,2026-04-20 07:52:58.060000+00:00,2026-04-27 07:52:58.060000+00:00
post_M3_7d,raw,5.0,M5+,12,6.995334606481482,1.7154290216341443,0.3870967741935484,2026-04-20 07:52:58.060000+00:00,2026-04-27 07:52:58.060000+00:00
post_M3_7d,raw,6.0,M6+,0,6.995334606481482,0.0,0.0,2026-04-20 07:52:58.060000+00:00,2026-04-27 07:52:58.060000+00:00
