origin_time,latitude,longitude,depth_km,magnitude,event_id,time_since_M1_days,time_before_M3_days,distance_to_M1_km,distance_to_M2_km,distance_to_M3_km,along_axis_km,perpendicular_distance_km,axis_length_km,axis_fraction,nearest_endpoint,in_M1_core_30km,in_M3_core_30km,in_M1_extended_60km,in_M3_extended_60km,in_local_union_60km,in_corridor_20km,in_corridor_30km,off_corridor_local,M2_related_100km,M2_ambiguous_overlap,spatial_category,window__pre_M1_baseline_14d,window__pre_M1_baseline_7d,window__M1_related_primary,window__M1_related_sensitivity_narrow,window__M1_related_sensitivity_broad,window__full_M1_to_M3,window__middle_primary,window__pre_M3_primary,window__pre_M3_sensitivity_42d,window__pre_M3_sensitivity_28d,window__post_M3_7d,window__post_M3_14d
2026-04-22 08:21:57.700000+00:00,39.721606,143.193278,16.33,1.7,evt_023126,164.0127136574074,-2.020134722222222,44.56737025555185,158.40853513576982,13.741444606126002,44.20080978997772,4.341508368627331,57.16418144737492,0.7732256225984584,M3,False,True,True,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 08:24:16.270000+00:00,39.885799,143.080501,16.29,1.8,evt_023127,164.01431747685186,-2.0217385416666667,65.01961546508919,137.76810571276982,8.145502569161883,64.72983584111829,3.040217548615548,57.16418144737492,1.132349562299047,M3,False,True,False,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 08:27:41.670000+00:00,39.692472,143.219059,14.55,1.5,evt_023128,164.01669479166668,-2.0241158564814814,40.65410451602411,162.30942442516098,17.452313074278766,40.29843744652364,4.151308903834938,57.16418144737492,0.7049595817902544,M3,False,True,True,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 08:28:38.650000+00:00,40.0573,142.913672,23.0,1.2,evt_023129,164.0173542824074,-2.024775347222222,88.79103046584575,114.24568747269392,31.67595043578044,88.3798643604319,5.259340123255676,57.16418144737492,1.5460706708762022,M3,False,False,False,True,True,True,True,False,False,False,corridor_noncore,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 08:29:22.890000+00:00,39.56366,143.647087,11.38,2.4,evt_023130,164.01786631944444,-2.025287384259259,21.6256663217882,194.11292223471784,52.11284248015404,8.907517085770618,19.607970232290885,57.16418144737492,0.15582339955258234,M1,True,False,True,True,True,True,True,False,False,False,M1-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 08:36:29.030000+00:00,39.837541,143.313509,10.91,1.7,evt_023132,164.02279849537038,-2.030219560185185,51.18711832001996,152.77564233556902,13.371901389402694,49.699011124704704,11.162995570728468,57.16418144737492,0.8694082529714412,M3,False,True,True,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 08:37:32.170000+00:00,40.144775,143.259082,13.86,1.5,evt_023133,164.0235292824074,-2.0309503472222223,85.26704454031076,122.91975154895151,34.77202048097137,81.06286282666366,25.026326290178062,57.16418144737492,1.418070910387998,M3,False,False,False,True,True,False,True,True,False,False,off-corridor_local,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 08:42:48.070000+00:00,39.583073,143.328206,10.39,1.8,evt_023135,164.0271855324074,-2.034606597222222,25.31362588323222,177.48572285465008,32.301787990413594,25.089473321005404,2.5366469091881,57.16418144737492,0.4389019957209158,M1,True,False,True,True,True,True,True,False,False,False,M1-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 08:47:24.980000+00:00,39.830835,143.251042,12.2,1.6,evt_023136,164.03039050925926,-2.037811574074074,52.4830372003139,150.4610780295092,8.125087540048513,51.87997562519273,6.214933456051007,57.16418144737492,0.9075608941055718,M3,False,True,True,True,True,True,True,False,False,False,M3-core,False,False,False,False,False,False,False,False,False,False,True,True
2026-04-22 08:49:55.660000+00:00,39.568901,143.636849,7.21,1.4,evt_023137,164.03213449074073,-2.0395555555555553,21.647084130463675,193.12589637787423,51.06085229442714,9.861628439326891,19.16505994329991,57.16418144737492,0.17251411967484323,M1,True,False,True,True,True,True,True,False,False,False,M1-core,False,False,False,False,False,False,False,False,False,False,True,True
