bin_id,stage,start_time,end_time,end_inclusive,event_count,median_km,q25_km,q75_km,q90_km,fraction_within_0.25km,fraction_within_0.50km,fraction_within_1.00km,fraction_within_2.00km,fraction_within_5.00km
10,stage2,2019-07-05 01:33:49.040000+00:00,2019-07-05 03:33:49.040000+00:00,False,291,0.4881116490774334,0.19076501083354463,1.0495762479032997,1.8979389825021111,0.29896907216494845,0.5051546391752577,0.7422680412371134,0.9140893470790378,0.9759450171821306
11,stage2,2019-07-05 03:33:49.040000+00:00,2019-07-05 05:33:49.040000+00:00,False,287,0.5282287770915656,0.2109858844992588,1.1442217076494288,1.9182696421088052,0.30313588850174217,0.4738675958188153,0.6829268292682927,0.9024390243902439,0.9825783972125436
12,stage2,2019-07-05 05:33:49.040000+00:00,2019-07-05 07:33:49.040000+00:00,False,280,0.6001592940205811,0.21239035337062961,1.11747236765742,1.9141551041452118,0.2892857142857143,0.45,0.7178571428571429,0.9107142857142857,0.9821428571428571
13,stage2,2019-07-05 07:33:49.040000+00:00,2019-07-05 09:33:49.040000+00:00,False,283,0.4905872267974773,0.19881428905497917,1.0137563049491598,1.7032372923306254,0.31802120141342755,0.5053003533568905,0.7455830388692579,0.9293286219081273,0.9858657243816255
14,stage2,2019-07-05 09:33:49.040000+00:00,2019-07-05 11:33:49.040000+00:00,False,276,0.6173080811303469,0.19922087703946875,1.2464024131577651,2.1084009392493313,0.2971014492753623,0.44565217391304346,0.6702898550724637,0.8913043478260869,0.9855072463768116
15,stage2,2019-07-05 11:33:49.040000+00:00,2019-07-05 13:33:49.040000+00:00,False,306,0.8256677892975968,0.3047865774614764,1.4115931569564981,2.3576276645238616,0.21895424836601307,0.40522875816993464,0.5947712418300654,0.8496732026143791,0.9967320261437909
16,stage2,2019-07-05 13:33:49.040000+00:00,2019-07-05 15:33:49.040000+00:00,False,283,0.5531502380783572,0.1787863553167865,1.1932315193007754,2.0114346973956936,0.31448763250883394,0.4628975265017668,0.696113074204947,0.8939929328621908,0.9964664310954063
17,stage2,2019-07-05 15:33:49.040000+00:00,2019-07-05 17:33:49.040000+00:00,False,314,0.7004818178520757,0.23513613090312904,1.1935148896857486,2.1399841216772724,0.25796178343949044,0.42356687898089174,0.6719745222929936,0.8821656050955414,1.0
18,stage2,2019-07-05 17:33:49.040000+00:00,2019-07-05 19:33:49.040000+00:00,False,287,0.574034008287259,0.21208197808278514,1.2447437250043412,2.0520569404839804,0.27526132404181186,0.4529616724738676,0.6794425087108014,0.8954703832752613,0.9930313588850174
19,stage2,2019-07-05 19:33:49.040000+00:00,2019-07-05 21:33:49.040000+00:00,False,283,0.7356856406882389,0.24897964693346203,1.7211099332705933,2.3728152207614936,0.2508833922261484,0.37809187279151946,0.5901060070671378,0.7985865724381626,0.9893992932862191
20,stage2,2019-07-05 21:33:49.040000+00:00,2019-07-05 23:33:49.040000+00:00,False,279,0.6716174903079543,0.2217483902855945,1.4902558241263564,2.2946317829567113,0.27956989247311825,0.43727598566308246,0.6344086021505376,0.8458781362007168,0.992831541218638
21,stage2,2019-07-05 23:33:49.040000+00:00,2019-07-06 01:33:49.040000+00:00,False,229,0.5705163958941559,0.180640893173081,1.4144966937515668,2.174658489914315,0.29694323144104806,0.48034934497816595,0.6593886462882096,0.8864628820960698,0.982532751091703
22,stage2,2019-07-06 01:33:49.040000+00:00,2019-07-06 03:19:53.040000+00:00,True,214,0.4965325493127736,0.18278581384828818,1.1531154144378426,1.886696308927538,0.3177570093457944,0.5046728971962616,0.6822429906542056,0.9205607476635514,0.985981308411215
