mainshock,radius_km,time_window_days,depth_strategy,mag_threshold,metric,value
M1,44.0,60.0,stratified,1.5,n_total,2727.0
M1,44.0,60.0,stratified,1.5,rate_ratio,5.730864197530864
M1,44.0,60.0,stratified,1.5,post_omori_p,0.6813629535471485
M1,44.0,60.0,stratified,2.0,n_total,1321.0
M1,44.0,60.0,stratified,2.0,rate_ratio,5.910994764397906
M1,44.0,60.0,stratified,2.0,post_omori_p,0.8456268853950176
M1,44.0,60.0,stratified,2.5,n_total,644.0
M1,44.0,60.0,stratified,2.5,rate_ratio,4.845454545454546
M1,44.0,60.0,stratified,2.5,post_omori_p,0.961146296102104
M1,44.0,90.0,all,,n_total,3788.0
M1,44.0,90.0,all,,rate_ratio,5.290697674418604
M1,44.0,90.0,all,,post_omori_p,0.6469814243137311
M1,44.0,90.0,all,1.2,n_total,3604.0
M1,44.0,90.0,all,1.2,rate_ratio,5.468581687612208
M1,44.0,90.0,all,1.2,post_omori_p,0.6592297905123108
M1,44.0,90.0,all,1.5,n_total,2885.0
M1,44.0,90.0,all,1.5,rate_ratio,5.883054892601431
M1,44.0,90.0,all,1.5,post_omori_p,0.7130903293938352
M1,44.0,90.0,all,2.0,n_total,1384.0
M1,44.0,90.0,all,2.0,rate_ratio,5.984848484848484
M1,44.0,90.0,all,2.0,post_omori_p,0.864871311026077
M1,44.0,90.0,all,2.5,n_total,663.0
M1,44.0,90.0,all,2.5,rate_ratio,4.963963963963963
M1,44.0,90.0,all,2.5,post_omori_p,0.9763863024978722
M1,44.0,90.0,mainshock_window,,n_total,3785.0
M1,44.0,90.0,mainshock_window,,rate_ratio,5.306666666666667
M1,44.0,90.0,mainshock_window,,post_omori_p,0.6471358570638953
M1,44.0,90.0,mainshock_window,1.2,n_total,3602.0
M1,44.0,90.0,mainshock_window,1.2,rate_ratio,5.488288288288287
M1,44.0,90.0,mainshock_window,1.2,post_omori_p,0.6592297905123108
M1,44.0,90.0,mainshock_window,1.5,n_total,2884.0
M1,44.0,90.0,mainshock_window,1.5,rate_ratio,5.897129186602871
M1,44.0,90.0,mainshock_window,1.5,post_omori_p,0.7130903293938352
M1,44.0,90.0,mainshock_window,2.0,n_total,1384.0
M1,44.0,90.0,mainshock_window,2.0,rate_ratio,5.984848484848484
M1,44.0,90.0,mainshock_window,2.0,post_omori_p,0.864871311026077
M1,44.0,90.0,mainshock_window,2.5,n_total,663.0
M1,44.0,90.0,mainshock_window,2.5,rate_ratio,4.963963963963963
M1,44.0,90.0,mainshock_window,2.5,post_omori_p,0.9763863024978722
M1,44.0,90.0,stratified,,n_total,3780.0
M1,44.0,90.0,stratified,,rate_ratio,5.298333333333333
M1,44.0,90.0,stratified,,post_omori_p,0.6468892443571843
M1,44.0,90.0,stratified,1.2,n_total,3597.0
M1,44.0,90.0,stratified,1.2,rate_ratio,5.47927927927928
M1,44.0,90.0,stratified,1.2,post_omori_p,0.6589887419009068
M1,44.0,90.0,stratified,1.5,n_total,2880.0
M1,44.0,90.0,stratified,1.5,rate_ratio,5.88755980861244
M1,44.0,90.0,stratified,1.5,post_omori_p,0.7127775421972771
M1,44.0,90.0,stratified,2.0,n_total,1382.0
